model,sku,slug,color,image_url,release_date,release_date_year,discount_tag,box_condition,goat_url,model_sub_line,model_line,brand,description,story,prelude,ftb,gs,ps
Kobe 9 Elite iD,677992 XXX,kobe-9-elite-low-id-677992-xxx,Multi-Color,https://image.goat.com/750/attachments/product_template_pictures/images/015/636/079/original/677992_XXX.png.png,2014-08-11,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-elite-low-id-677992-xxx,Nike - Kobe 9 Hi,Nike - Kobe 9,Nike,Shop the Kobe 9 Elite iD and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 9 Elite Low 'Beethoven',639045 101,kobe-9-elite-low-beethoven-639045-101,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/078/710/846/original/13010_00.png.png,2014-08-16,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-elite-low-beethoven-639045-101,Nike - Kobe 9 Low,Nike - Kobe 9,Nike,Shop the Kobe 9 Elite Low 'Beethoven' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Inspired by the music composer from the 1800’s, the Nike Kobe 9 Elite “Beethoven” is meant to reflect the idea of timelessness with a simple white and black colorway. Constructed with a grey Flyknit upper, the silhouette is contrasted with white tones on the tongue and heel, while black hues line the branding and Swoosh. Additionally, a carbon fiber print is featured on the heel, while a speckled midsole rounds out the monochromatic appeal.",N,N,N,N
Kobe 8 SS 'Christmas',639522 001,kobe-8-system-ss-christmas-639522-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/079/005/784/original/12984_00.png.png,2013-12-26,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-system-ss-christmas-639522-001,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 SS 'Christmas' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Following the silhouette’s lineage of Christmas-themed colorways, the Nike Kobe 8 SS features a scaly upper design with translucent grey tones throughout the seamless overlays. Its textured look is reminiscent of a snakeskin shedding, while a Christmas ornament design is featured on the lace-lock. Contrasted with a green outsole and Swoosh, the silhouette also features the classic Mamba branding throughout the tongue with Kobe’s signature on the heel.",N,N,N,N
Zoom Kobe 7 Supreme 'Concord',488244 100,zoom-kobe-7-system-supreme-concord-488244-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/000/688/443/original/488244_100.png.png,2011-01-06,2011,,good_condition,https://www.goat.com/sneakers/zoom-kobe-7-system-supreme-concord-488244-100,Nike - Zoom Kobe 7,Nike - Zoom Kobe 7,Nike,Shop the Zoom Kobe 7 Supreme 'Concord' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 7 System Supreme ‘Concord' released in January 2012 with a colorway inspired by the Los Angeles Lakers home uniforms. Supported by two interchangeable insert options that allow for customizable midsole and ankle support, the shoe also features visible Flywire cables in matching Concord. A glass-reinforced composite shank is included in the midsole.",N,N,N,N
Zoom Kobe Venomenon 5 'Limited China Tour',812555 690,nike-zoom-kobe-venomenon-5-limited-men-s-basketball-shoe-812555-690,Red,https://image.goat.com/750/attachments/product_template_pictures/images/080/341/507/original/32866_00.png.png,,,,good_condition,https://www.goat.com/sneakers/nike-zoom-kobe-venomenon-5-limited-men-s-basketball-shoe-812555-690,Nike - Zoom Kobe Venomenon 5,Nike - Zoom Kobe Venomenon 5,Nike,Shop the Zoom Kobe Venomenon 5 'Limited China Tour' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe A.D. Mid 'Gorge Green',942521 303,kobe-a-d-mid-gorge-green-942521-303,Green,https://image.goat.com/750/attachments/product_template_pictures/images/006/477/261/original/942521_303.png.png,2017-09-15,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-mid-gorge-green-942521-303,Nike - Kobe A.D. Mid,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. Mid 'Gorge Green' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe A.D. Mid ‘Gorge Green’ is defined by a near-monochromatic upper, constructed with multilayer mesh and adaptive Flywire cables, both obscured underneath a top synthetic layer for a sleek aesthetic. An embroidered Swoosh in white is matched by the Lunarlon foam midsole, featuring an encapsulated Nike Zoom Air unit for added cushioning.",N,N,N,N
Kobe 11 GS 'All Star',824411 305,kobe-11-gs-asg-824411-305,Black,https://image.goat.com/750/attachments/product_template_pictures/images/001/880/562/original/824411_305.png,,,,good_condition,https://www.goat.com/sneakers/kobe-11-gs-asg-824411-305,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 GS 'All Star' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe 9 EM Premium 'Black Metallic Silver',652908 001,kobe-9-prm-652908-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/000/017/178/original/652908_001.png.png,2014-08-01,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-prm-652908-001,Nike - Kobe 9 EM,Nike - Kobe 9,Nike,Shop the Kobe 9 EM Premium 'Black Metallic Silver' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe 9 brings a combination of Flywire and engineered mesh fabrics throughout the upper for a seamless design that strategically tightens and loosens when in motion. A Lunarlon cushioning system ensures long-lasting comfort, while the pressure mapped outsole pods are designed to increase traction on court.",N,N,N,N
Kobe 10 GS 'Easter',726067 808,kobe-10-gs-easter-726067-808,Red,https://image.goat.com/750/attachments/product_template_pictures/images/000/716/205/original/726067_808.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-10-gs-easter-726067-808,Nike - Kobe 10,Nike - Kobe 10,Nike,Shop the Kobe 10 GS 'Easter' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe A.D. Mid 'Black',942521 002,kobe-a-d-mid-black-942521-002,Black,https://image.goat.com/750/attachments/product_template_pictures/images/051/415/442/original/219866_00.png.png,2017-09-15,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-mid-black-942521-002,Nike - Kobe A.D. Mid,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. Mid 'Black' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,This black and white iteration of the Nike Kobe AD Mid is one of seven team colorways released in September 2017. The sneaker features a breathable black mesh upper for comfort atop a white Lunarlon foam midsole with Zoom Air for enhanced energy return.,N,N,N,N
Zoom Kobe 7 X 'Black Wolf Grey',488370 001,nike-zoom-kobe-7,Black,https://image.goat.com/750/attachments/product_template_pictures/images/050/367/874/original/29294_00.png.png,2012-02-04,2012,,good_condition,https://www.goat.com/sneakers/nike-zoom-kobe-7,Nike - Zoom Kobe 7,Nike - Zoom Kobe 7,Nike,Shop the Zoom Kobe 7 X 'Black Wolf Grey' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe A.D. 'Midnight Navy',852425 406,kobe-a-d-midnight-navy-852425-406,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/002/008/213/original/852425_406.png,2017-02-01,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-midnight-navy-852425-406,Nike - Kobe A.D.,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. 'Midnight Navy' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe A.D. was created to keep the Mamba storyline alive following his retirement from basketball, featuring a low-profile silhouette that incorporates a combination of Zoom Air and Lunarlon cushioning for responsive and adaptable cushioning. The shoe also incorporates a Dynamic Flywire system to create a secure fit that assists with seamless switching directions on the court.",N,N,N,N
Kobe 11 Elite Low 'Master of Innovation',822675 037,kobe-11-elite-low-cool-grey-822675-037,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/053/261/443/original/64015_00.png.png,2016-08-11,2016,,good_condition,https://www.goat.com/sneakers/kobe-11-elite-low-cool-grey-822675-037,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 Elite Low 'Master of Innovation' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The ‘Master of Innovation’ offering of the Kobe 11 Elite Low features a Cool Grey Flyknit construction on the upper that fades to Yellow Strike and Voltage Green hues on the toe. Kobe’s signature red Achilles tendon design appears on the left heel, a nod to his return to the NBA after tearing the tendon, while the right shoe features a graphic embroidered with ‘96-03’ on the right heel. The Flyknit cables on the eyestay are included for a locked-down fit.",N,N,N,N
Kobe 9 Elite 'Strategy',630847 303,kobe-9-elite-men-s-basketball-shoe-630847-303,Orange,https://image.goat.com/750/attachments/product_template_pictures/images/080/805/809/original/9511_00.png.png,2014-11-26,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-elite-men-s-basketball-shoe-630847-303,Nike - Kobe 9 Hi,Nike - Kobe 9,Nike,Shop the Kobe 9 Elite 'Strategy' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Kobe Bryant’s ninth model for his signature sneaker line gets a military-inspired update with the Nike Kobe 9 Elite 'Sequoia' sneaker. This high-top model, released in November 2014, includes a Flyknit upper that’s interwoven with Sequoia, Rough Green and Hyper Crimson hues. Reflective chrome detailing on the shoe’s tongue and speckled midsole complement the grey outsole underneath.",N,N,N,N
Kobe 10 Elite 'Draft Pick',747212 515,kobe-10-opening-night-747212-515,Purple,https://image.goat.com/750/attachments/product_template_pictures/images/063/656/945/original/31961_00.png.png,2015-10-30,2015,,good_condition,https://www.goat.com/sneakers/kobe-10-opening-night-747212-515,Nike - Kobe 10,Nike - Kobe 10,Nike,Shop the Kobe 10 Elite 'Draft Pick' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,Kobe Bryant’s 10th signature received a colorful treatment in anticipation of the 2015 basketball season. The Kobe 10 'Draft Pick' features a Court Purple-based Flyknit upper with Vivid Purple details on the toe box and Hyper Orange accents on the Flywire cables. The sneaker also boasts a contrasting white Swoosh and a translucent sole unit.,N,N,N,N
Kobe A.D. TB 'White Yellow',AT3874 106,kobe-a-d-tb-white-yellow-at3874-106,White,https://image.goat.com/750/attachments/product_template_pictures/images/084/154/739/original/567865_00.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-a-d-tb-white-yellow-at3874-106,Nike - Kobe A.D.,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. TB 'White Yellow' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Zoom Kobe Icon 'Hyper Cobalt',818583 400,zoom-kobe-icon-hyper-cobalt-818583-400,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/017/131/582/original/818583_400.png.png,,,,no_original_box,https://www.goat.com/sneakers/zoom-kobe-icon-hyper-cobalt-818583-400,Nike - Zoom Kobe Icon,Nike - Zoom Kobe Icon,Nike,Shop the Zoom Kobe Icon 'Hyper Cobalt' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 8 TB 'Gym Red',599520 603,kobe-8-system-tb-red-599520-603,Red,https://image.goat.com/750/attachments/product_template_pictures/images/022/604/895/original/599520_603.png.png,2013-10-16,2013,,no_original_box,https://www.goat.com/sneakers/kobe-8-system-tb-red-599520-603,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 TB 'Gym Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 8 GS 'Dynamic Pink',555586 601,kobe-8-gs-555586-601,Pink,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/366/original/555586_601.png.png,2013-02-02,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-gs-555586-601,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 GS 'Dynamic Pink' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Zoom Kobe 6 'Black Del Sol',429659 002,zoom-kobe-6-429659-002,Black,https://image.goat.com/750/attachments/product_template_pictures/images/050/508/519/original/429659_002.png.png,2010-12-26,2010,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-429659-002,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 'Black Del Sol' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Nike debuted the Zoom Kobe 6 in December 2010 in this inaugural colorway, featuring a mesh upper with countless polyurethane ‘islands’ to create a unique texture resembling snakeskin. The all-black coloring up top is accented by a yellow Swoosh as well as Kobe’s signature on the molded heel panel. A tonal black, Phylon-injected midsole houses Zoom Air units in the heel and forefoot for responsive cushioning.",N,N,N,N
Kobe 8 'Philippines Pack - Game Royal',613959 004,kobe-8-system-pp-613959-004,Black,https://image.goat.com/750/attachments/product_template_pictures/images/051/521/490/original/49025_00.png.png,2013-09-07,2013,,no_original_box,https://www.goat.com/sneakers/kobe-8-system-pp-613959-004,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 'Philippines Pack - Game Royal' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 9 'China',683251 670,kobe-9-ch-pack-683251-670,Red,https://image.goat.com/750/attachments/product_template_pictures/images/078/709/163/original/13128_00.png.png,2014-08-30,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-ch-pack-683251-670,Nike - Kobe 9 Hi,Nike - Kobe 9,Nike,Shop the Kobe 9 'China' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"During his travels to China, Kobe Bryant typically hosts basketball camps for aspiring youth. To celebrate his relationship to Chinese fans, Nike released an exclusive colorway of the Kobe 9. The Kobe 9 'China' features a University Red Engineered Mesh upper with open mesh details and orange Flywire cables. The low top also boasts a unique China-inspired tongue graphic, metallic gold details on the side Swoosh and Kobe branding, and black accents on the laces, heel, and inner tongue.",N,N,N,N
Kobe Mentality 'Black Red',704942 009,kobe-mentality-704942-009,Black,https://image.goat.com/750/attachments/product_template_pictures/images/011/202/289/original/704942_009.png.png,2017-06-15,2017,,no_original_box,https://www.goat.com/sneakers/kobe-mentality-704942-009,Nike - Kb Mentality,Nike - Kb Mentality,Nike,Shop the Kobe Mentality 'Black Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"One of Bryant’s many signature silhouettes outside of his flagship series, the Kobe Mentality is a basketball-inspired lifestyle look known for its artistic graphic prints. The design is dressed in a black-streaked base with a distinct red and yellow overlay. A silver Swoosh and Kobe’s trademark Shozoku logo break up the look up top, while a marbled outsole adds flair underfoot.",N,N,N,N
Zoom Kobe 7 System 'Shark',488371 401,zoom-kobe-7-shark-488371-401,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/063/600/960/original/25312_00.png.png,2012-02-15,2012,,good_condition,https://www.goat.com/sneakers/zoom-kobe-7-shark-488371-401,Nike - Zoom Kobe 7,Nike - Zoom Kobe 7,Nike,Shop the Zoom Kobe 7 System 'Shark' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Inspired by the characteristics of the shark and how they translate to Kobe Bryant’s performance on court, the Zoom Kobe 7 features an ocean graphic throughout the shoe’s exterior shell that forms a skin-like texture to mimic the look of the predatory creature. A Cushlon midsole allows players to propel their strides with a faster response and protects against harsh impact on the court.",N,N,N,N
Kobe 9 EM 'Dusty Cactus',646701 316,kobe-9-em-dusty-cactus-646701-316,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/000/297/779/original/646701_316.png,2014-10-03,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-em-dusty-cactus-646701-316,Nike - Kobe 9 EM,Nike - Kobe 9,Nike,Shop the Kobe 9 EM 'Dusty Cactus' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 9 EM appears with a Dusty Cactus hue on the Engineered Mesh upper, which creates a blend of forefoot support and breathability. The red accents on the branding match the Flywire cables, which reinforce the shoe with a locked-down fit. The outsole traction pattern is designed to mirror the shape of an actual foot, with pressure-mapped cushioning pods throughout.",N,N,N,N
Zoom Kobe 4 'Prelude',639693 500,zoom-kobe-4-prelude-prelude-4-639693-500,Purple,https://image.goat.com/750/attachments/product_template_pictures/images/000/016/020/original/639693_500.png.png,2013-12-28,2013,,good_condition,https://www.goat.com/sneakers/zoom-kobe-4-prelude-prelude-4-639693-500,Nike - Zoom Kobe 4,Nike - Zoom Kobe 4,Nike,Shop the Zoom Kobe 4 'Prelude' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Part of the Nike Kobe Prelude Pack, this December 2013 Zoom Kobe 4 'Prelude’ colorway was the first retro release for the Nike Zoom Kobe 4. Decked out in a Court Purple, metallic gold and Purple Venom palette, the upper is covered with a paint splatter aesthetic. Zoom Air and Lunarlon provide cushioning underfoot, while the limited release design pays tribute to Kobe's fourth NBA championship and first Finals MVP Award in 2009.",Y,N,N,N
Zoom Kobe 7 System TB 'Gym Red',517359 600,zoom-kobe-7-system-tb-gym-red-517359-600,Red,https://image.goat.com/750/attachments/product_template_pictures/images/017/546/401/original/517359_600.png.png,2012-09-18,2012,,good_condition,https://www.goat.com/sneakers/zoom-kobe-7-system-tb-gym-red-517359-600,Nike - Zoom Kobe 7,Nike - Zoom Kobe 7,Nike,Shop the Zoom Kobe 7 System TB 'Gym Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Zoom Kobe 5 'Prelude',639691 700,zoom-kobe-5-prelude-639691-700,Gold,https://image.goat.com/750/attachments/product_template_pictures/images/056/530/214/original/13089_00.png.png,2014-01-04,2014,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-prelude-639691-700,Nike - Zoom Kobe 5,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 'Prelude' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Released in Nike’s Prelude Pack in January 2014, the Nike Zoom Kobe 5 'Prelude' celebrates Kobe Bryant’s impact on popular culture with a pop art-inspired colorway. The multicolor upper features Flywire technology for a locked-down fit, while the gold Swoosh serves as a tribute to the championship ring Bryant won while wearing the Kobe 5. It also comes with purple speckling on the black midsole and a glow-in-the-dark outsole underfoot.",Y,N,N,N
Zoom Kobe 6 'Concord',429659 100,zoom-kobe-6-429659-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/988/original/429659_100.png.png,2011-01-15,2011,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-429659-100,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 'Concord' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Released in spring 2011, the Zoom Kobe 6 ‘Concord’ hit shelves in a classic white and blue color combination. The sneaker’s snakeskin-textured upper is presented in grey while a black Swoosh and Kobe sheath logo offer contrast at the sidewall and tongue, respectively. A blue liner, heel cup, and midsole are met by a white Zoom cushioned midsole and grey outsole underfoot.",N,N,N,N
Kobe Mentality GS,705387 500,kobe-mentality-3-5y-7y-kids-basketball-shoe-705387-500,Purple,https://image.goat.com/750/attachments/product_template_pictures/images/000/011/520/original/705387500.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-mentality-3-5y-7y-kids-basketball-shoe-705387-500,Nike - Kb Mentality,Nike - Kb Mentality,Nike,Shop the Kobe Mentality GS and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Air Jordan 8 Retro 'Kobe Bryant' PE,305381 107,air-jordan-8-retro-kobe-bryant-pe-305381-107,White,https://image.goat.com/750/attachments/product_template_pictures/images/077/928/549/original/275347_00.png.png,,,,good_condition,https://www.goat.com/sneakers/air-jordan-8-retro-kobe-bryant-pe-305381-107,Jordan - Jordan 8,Jordan - Jordan 8,Jordan,Shop the Air Jordan 8 Retro 'Kobe Bryant' PE and other curated styles from Air Jordan on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 11 Elite Low 'Oreo',822675 100,kobe-11-elite-low-oreo-822675-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/080/885/990/original/79232_00.png.png,2016-10-28,2016,,good_condition,https://www.goat.com/sneakers/kobe-11-elite-low-oreo-822675-100,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 Elite Low 'Oreo' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Released in October 2016, the Nike Kobe 11 Elite Low 'Oreo' features a black and white Flyknit upper with a bold black Swoosh, black tongue, black lining, and a black and white speckled sole. ",N,N,N,N
Kobe 8 'Philippines Pack - Gym Red',613959 002,kobe-8-system-pp-613959-002,Black,https://image.goat.com/750/attachments/product_template_pictures/images/051/144/534/original/13291_00.png.png,2013-09-07,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-system-pp-613959-002,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 'Philippines Pack - Gym Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 8 'Philippines' is one of two colorways created for the UAAP Basketball Tournament held in the Philippines. Released in 2013 and dressed in black, Metallic Silver, Gym Red and Bright Crimson, the shoe features a black Engineered Mesh upper with the Nike Swoosh in silver. Signature branding is found on the tongue and heel, both of which are coated in crimson. The full-length Lunarlon midsole and inner lining come with jagged graphics, while the rubber outsole includes a snake-scale-inspired traction pattern.",N,N,N,N
Kobe 8+ 'All Star - Extraterrestrial',587553 800,kobe-8-system-as-extraterrestrial-587553-800,Orange,https://image.goat.com/750/attachments/product_template_pictures/images/000/015/923/original/587553_800.png.png,2013-02-15,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-system-as-extraterrestrial-587553-800,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8+ 'All Star - Extraterrestrial' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe 8+ AS ‘Extraterrestrial’ released in February 2013 as part of a larger Nike Basketball ‘Area 72’ collection inspired by that year’s NBA All-Star Game in Houston. The low-top features a swirling design in orange and white, meant to evoke the surface of alien planet. The one-piece engineered mesh upper rest atop a contrasting white midsole with encapsulated an Nike Zoom unit for lightweight cushioning.",N,N,N,N
Kobe 11 GS 'Oreo',822945 100,kobe-11-gs-oreo-822945-100,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/001/269/006/original/822945_100.png,2016-09-24,2016,,good_condition,https://www.goat.com/sneakers/kobe-11-gs-oreo-822945-100,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 GS 'Oreo' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 11 ‘Oreo’ released in September 2016 as a grade school exclusive. The design lives up to its moniker through a blend of white and black yarns on the Flyknit upper, accented by solid black hits on the tongue, laces and embroidered Swoosh. The white speckled midsole underfoot houses a Zoom Air unit in the heel, which acts in concert with a drop-in Lunarlon sockliner for lightweight cushioning.",N,N,Y,N
Zoom Kobe 6 GS,429913 007,kobe-6-gs-429913-007,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/010/043/070/original/429913_007.png.png,,,,badly_damaged,https://www.goat.com/sneakers/kobe-6-gs-429913-007,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 GS and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe 9 EM TB 'University Red',685776 602,kobe-9-em-tb-university-red-685776-602,Red,https://image.goat.com/750/attachments/product_template_pictures/images/047/428/693/original/685776_602.png.png,2014-11-01,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-em-tb-university-red-685776-602,Nike - Kobe 9 EM,Nike - Kobe 9,Nike,Shop the Kobe 9 EM TB 'University Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 10 Mid EXT 'White Gum',802366 100,nike-kobe-10-ext-mid-802366-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/052/323/824/original/14791_00.png.png,2015-05-22,2015,,good_condition,https://www.goat.com/sneakers/nike-kobe-10-ext-mid-802366-100,Nike - Kobe 10,Nike - Kobe 10,Nike,Shop the Kobe 10 Mid EXT 'White Gum' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe 10 was designed for optimal performance on-court, but the EXT line lets the design shine in an off-court setting. This Kobe 10 EXT Mid is dressed in a simple white color scheme on a full-grain leather upper, but the details are really what make the shoe pop. Perforated ‘X’ rows covers the entire upper to provide hyper-breathability. The mid-top also boasts gold-plated details on the Kobe logo at the tongue, in the inner sleeve, and on the gum rubber outsole.",N,N,N,N
Kobe 9 EM Premium 'Gorge Green',652908 303,kobe-9-em-prm-652908-303,Green,https://image.goat.com/750/attachments/product_template_pictures/images/000/083/008/original/652908_303.png.png,2014-09-05,2014,,good_condition,https://www.goat.com/sneakers/kobe-9-em-prm-652908-303,Nike - Kobe 9 EM,Nike - Kobe 9,Nike,Shop the Kobe 9 EM Premium 'Gorge Green' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 8 'Grey Camo Volt',555035 063,kobe-8-system-grey-camo-555035-063,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/537/original/555035_063.png.png,2013-03-09,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-system-grey-camo-555035-063,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 'Grey Camo Volt' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Weighing in at just 9.6 ounces, the Kobe 8 was inspired by Kobe Bryant’s Black Mamba nickname, featuring a snakeskin pattern throughout the upper. The Engineered Mesh marks the first ever incorporation of the technology on a basketball shoe, and a Lunarlon midsole sits underfoot for cushioning and comfort. The outsole’s herringbone pattern factors in a snake scale design for multi-directional traction—and a final thematic touch.",N,N,N,N
Kobe A.D. Mid 'White',942521 101,kobe-a-d-mid-white-942521-101,White,https://image.goat.com/750/attachments/product_template_pictures/images/079/968/260/original/219870_00.png.png,2017-09-15,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-mid-white-942521-101,Nike - Kobe A.D. Mid,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. Mid 'White' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe A.D. continues the celebration of Mamba Mentality with a team inspired color palette of white and black. The mid-top design is complemented with Flywire cables for locked down support, while Nike Zoom technology delivers responsive propulsion for sharp cuts on court.",N,N,N,N
Kobe 11 Elite Low 'Brave Blue',822675 404,kobe-11-brave-blue-822675-404,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/048/338/379/original/49117_00.png.png,2016-04-14,2016,,good_condition,https://www.goat.com/sneakers/kobe-11-brave-blue-822675-404,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 Elite Low 'Brave Blue' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The 2016 Kobe 11 'Brave Blue' features a gradient Flyknit upper dressed in Brave Blue and University Blue. The sneaker also sports reflective detailing on the metallic silver Swoosh, black leather details on the heel patch and tongue branding, and additional metallic silver details on the traction-forward midsole and inner lining.",N,N,N,N
Kobe 9 EM GS 'Floral',677619 001,kobe-9-em-gs-floral-677619-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/001/153/519/original/677619_001.png.png,2019-11-11,2019,,good_condition,https://www.goat.com/sneakers/kobe-9-em-gs-floral-677619-001,Nike - Kobe 9 EM,Nike - Kobe 9,Nike,Shop the Kobe 9 EM GS 'Floral' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
